36bTfEJZZPk8AavK3QQSuhv1G9jMjKy4wy,4
3G19VAqsXSVeEkTnZhitgixiRQgFzqBpYf,57
bc1pa9fre7xamxl62hs7rv44gncn8gv2nj9k29d252uqqqy2car98pkqtftxuh,99
bc1p0uzv3u9jkkgeyk4wnj9nrt40lghys256f63wq2axcyatev7z3pesvxutpm,3
bc1pcq7c0ytr9rqdw5xj0fmyex4gqxgc4p23hp2chhzdxguxwrzenq7sexat24,24
bc1pds5wpqke9sald252p43aupwtuk3vgwuszxvgdk2f83467hxzzraqn6afqh,2
bc1pn57mtd3xr0agvuk0t4hepm477ez7msxwpwl0k9x0pd8ynx8cxars4f8mmd,33
bc1pqpa5w2peu8xps5d0drtdnpw4feqfas4hwfq2gtjguglrzmg2trysy2tv72,50
bc1pxhqcrh9h5rhdhm8ewplt6ds2995w9ch9f87ktqcrg2fpvvh2l46sqzukqv,5
36v4MRp9wzknWgCy2cmctxP4Agru63sLn5,1
38MYGdLh3kZu8JUeXYDDNzCB1cnSaxNwNm,5
3AZ2vxeVFFpVEMpxnhiBTdgFKbNS9sNbff,1
3BNNamhLUYg8QfyicgwmwktwdKuNMeSPuf,1
3DWwn85j9FMXwgjDywKDNDKVtrqaqTdKPt,1
3J57DrTBwbrTLjM794pUwAAHumGt5HrDLT,110
3KAJxDRUsxAizfNh7TGYZRnpG2Xv9iVJBy,6
3PL9XxSBdQ8MYVVkGCtan8C7JrwpKZoDPo,4
bc1p09adta4je2puf752h2tvnugvazjl9sxswvyvwmvlqwetz4nr7n2s76yw6m,1
bc1p0knthgdcgnywl2kp2x48husztxdk9384pgazvsfd949lsmw2kmzskacyz9,2
bc1p2twcky0zwq0gqra44x458z79u7nldn22zztae776ecfsl33mtt8q3ypm4w,1
bc1p4s6226ztmz2akf4ngyxs2nlthj42k6hj4rxsp05cnjspcdpamn0qjxec86,2
bc1p5497s8gar9w2jtu49cld2jdkzq9d8zph3v0m5s8qsa3ak8ru45gs8eez2j,2
bc1p6ke78amvd2psu9hu9pm5qeneqqc2q7jh08hdesyup6amy0d37e8shqj5pm,1
bc1p6ullgg7cwzjvlzavsa3fjvnn7crp9szzj46du6eq4y2mg4trpc3q0pmffn,1
bc1p7454lwdgtc6eqzw5khn2rmkn9y7rcrmqhtygscjfmch23evvg0asejhqk7,5
bc1p7k3zr7kkcg2jtd9r5pdual5fa4u23x3mr3svadgt5qt8wqtucqysz9m4gu,3
bc1p7p6kmg6d8p009cq3p4xud3ea7zlrkqrvt7k8hla2m5dwhvuwdrkst68jpn,1
bc1p8fhy7l2850ngpf7y4xcwu9xlkzr8vr0mnl69jjrvp4mephcjl83qzcguhx,6
bc1p8k2l8e60x094rv33vry8lxw5a4p3328yeegg37aqhuk2pf3kv0mqwv49pl,1
bc1p8upx6q54yyxajy6td5vq9vkzk7j0jy4zsy6c7kfha48kz8jqdwxqehrazj,9
bc1p9cahqulmvy3t4k789t9sjsx7wcev87fzwv2k2w55h6mtv27jnkwqvr6n8z,3
bc1p9r8gktj004r0j7m06ukaqcucrld3lx74lm7q4kzte0zcv5rcnmdq88dtuv,1
bc1pavvqlqgm988m565gr948vgmma2j2taxnraj0lyvjmdzaz6qssyes4kz06h,4
bc1pd4yf4qz7tm6gtc99uzws74z7rdjjjkcz8jf5tygkazcdtc5ltm3qutp2ss,15
bc1pd9mcv06hzjvcyuwjpcmulchwscqwftup9sd0cmucncsm2gnvjcrq8ncmz0,6
bc1pdv8q423sxaejj4w3uzm923s3a4guxg6jgrrplym86eyayaueun6s6sqzt3,3
bc1pe2myjelclqdvu4p09psmsyy0s6nhdzmk3f0zplmd9znhnx2anfyswcgaud,5
bc1peax6k4uxuecm3u39jves7cafmncfey3ruhm7wkwnqsevlk70rgwseel62a,1
bc1pegs4jx50m50slgdywsdzzfh4tt6e36hu4m2frhwuxdnc0zn2unpq539lmx,1
bc1pf2tthjhehaty2825zey9hetpzck6du75hg5k64t2jsxkwdrm6arsvs47t5,2
bc1pf5y7w5lxsmvwtunzuyxlt5lqpcjgq5ucxwca7qqd3ehcdmune77qmrw2nu,3
bc1pfjmz20euw03wffp4waux9crcdw33nsdhyarrqrw90w7t8tw3lg4qxx6qqj,3
bc1pfqa82uy7z47pmnj8zqmqehk9yh3juvljhqne98gp237rfahw5efqtk0xfy,1
bc1ph4atc2544lx07w2ms6dmuu5mw6aejf3lmv09jhj7cr6xk0k2vrzsn9esct,3
bc1phjsyw73de6ap8nfjzg4erxmdw7lzlfgvm447v82fytn78nm0mwnsq654e7,1
bc1pj2rglj70gwfydjed9w8l4n5vcurxdpahpcj02076wdykz376376qsh3ptc,7
bc1pj92q5qzar927u8n6xccdc4nfakqny6hjjy578jf92geug98zn5fsnc7t8e,15
bc1pjql4c9xl9943jzn5ac72tmputq3gg95p5vkhug7cgcq4ee64dedq0xaevr,1
bc1pjwc3vyranz8mva4mvm82vsdr25tz92awj6u2gpevf8lvqa7eypesqpmpvy,2
